filename,ms.date,ms.author,title,refresh
ai-services\connect-ai-services.md,2024-08-20,eur,Connect AI services to your hub in Azure AI Studio,2025-02
ai-services\get-started.md,2024-05-21,eur,Get started with AI services in Azure AI Studio,2024-11
concepts\ai-resources.md,2024-06-24,larryfr,"Manage, collaborate, and organize with hubs",2024-12
concepts\architecture.md,2024-06-04,larryfr,Azure AI Studio architecture,2024-12
concepts\concept-model-distillation.md,2024-07-23,ssalgado,Distillation in AI Studio,2025-01
concepts\concept-synthetic-data.md,2024-07-23,ssalgado,Synthetic data generation in AI Studio,2025-01
concepts\connections.md,2024-05-21,eur,Connections in Azure AI Studio,2024-11
concepts\content-filtering.md,2024-05-21,pafarley,Azure AI Studio content filtering,2024-11
concepts\deployments-overview.md,2024-05-21,mopeakande,"Deploy models, flows, and web apps with Azure AI Studio",2024-11
concepts\evaluation-approach-gen-ai.md,2024-05-21,lagayhar,Evaluation of generative AI applications with Azure AI Studio,2024-11
concepts\evaluation-improvement-strategies.md,2024-05-21,lagayhar,Content risk mitigation strategies with Azure AI,2024-11
concepts\evaluation-metrics-built-in.md,2024-05-21,lagayhar,Evaluation and monitoring metrics for generative AI,2024-11
concepts\fine-tuning-overview.md,2024-05-29,eur,Fine-tuning in Azure AI Studio,2024-11
concepts\rbac-ai-studio.md,2024-09-12,larryfr,Role-based access control in Azure AI Studio,2025-03
concepts\retrieval-augmented-generation.md,2024-05-21,eur,Retrieval augmented generation in Azure AI Studio,2024-11
concepts\safety-evaluations-transparency-note.md,2024-05-21,lagayhar,Transparency Note for Azure AI Studio safety evaluations,2024-11
concepts\vulnerability-management.md,2024-05-21,larryfr,Vulnerability management,2024-11
how-to\autoscale.md,2024-05-21,larryfr,Autoscale Azure AI limits,2024-11
how-to\concept-data-privacy.md,2024-05-21,scottpolly,"Data, privacy, and security for use of models through the model catalog in AI Studio",2024-11
how-to\configure-managed-network.md,2024-05-21,larryfr,How to configure a managed network for Azure AI Studio hubs,2024-11
how-to\configure-private-link.md,2024-05-21,larryfr,How to configure a private link for an Azure AI Studio hub,2024-11
how-to\connections-add.md,2024-09-13,larryfr,How to add a new connection in Azure AI Studio,2025-03
how-to\costs-plan-manage.md,2024-05-21,larryfr,Plan and manage costs for Azure AI Studio,2024-11
how-to\create-azure-ai-hub-template.md,2024-05-21,larryfr,Create an Azure AI Studio hub using a Bicep template,2024-11
how-to\create-azure-ai-resource.md,2024-05-21,larryfr,How to create and manage an Azure AI Studio hub,2024-11
how-to\create-hub-terraform.md,2024-07-12,larryfr ,Use Terraform to create an Azure AI Studio hub,2025-01
how-to\create-manage-compute-session.md,2024-05-21,sgilley,Create and manage prompt flow compute sessions,2024-11
how-to\create-manage-compute.md,2024-05-21,sgilley,How to create and manage compute instances in Azure AI Studio,2024-11
how-to\create-projects.md,2024-05-21,sgilley,Create an Azure AI Studio project in Azure AI Studio,2024-11
how-to\create-secure-ai-hub.md,2024-05-21,larryfr,Create a secure hub,2024-11
how-to\data-add.md,2024-05-21,franksolomon,How to add and manage data in your Azure AI Studio project,2024-11
how-to\data-image-add.md,2024-05-21,pafarley,Use your image data with Azure OpenAI Service,2024-11
how-to\deploy-models-cohere-command.md,2024-08-08,mopeakande,How to use Cohere Command chat models with Azure AI Studio,2025-02
how-to\deploy-models-cohere-embed.md,2024-08-08,mopeakande,How to use Cohere Embed V3 models with Azure AI Studio,2025-02
how-to\deploy-models-cohere-rerank.md,2024-07-24,mopeakande,How to deploy Cohere Rerank models as serverless APIs,2025-01
how-to\deploy-models-jais.md,2024-08-08,ssalgado,How to use Jais chat models with Azure AI Studio,2025-02
how-to\deploy-models-jamba.md,2024-08-06,ssalgado,How to deploy AI21s Jamba family models with Azure AI Studio,2025-02
how-to\deploy-models-llama.md,2024-08-08,ssalgado,How to use Meta Llama chat models with Azure AI Studio,2025-02
how-to\deploy-models-managed.md,2024-08-13,mopeakande,How to deploy and inference a managed compute deployment with code,2025-02
how-to\deploy-models-mistral-nemo.md,2024-09-13,mopeakande,How to use Mistral Nemo chat model with Azure AI Studio,2025-03
how-to\deploy-models-mistral-open.md,2024-09-13,mopeakande,How to use Mistral-7B and Mixtral chat models with Azure AI Studio,2025-03
how-to\deploy-models-mistral.md,2024-09-13,mopeakande,How to use Mistral premium chat models with Azure AI Studio,2025-03
how-to\deploy-models-openai.md,2024-05-21,mopeakande,How to deploy Azure OpenAI models with Azure AI Studio,2024-11
how-to\deploy-models-phi-3-5-moe.md,2024-09-13,mopeakande,How to use Phi-3.5 MoE chat model with Azure AI Studio,2025-03
how-to\deploy-models-phi-3-5-vision.md,2024-08-29,mopeakande,How to use Phi-3.5 chat model with vision with Azure AI Studio,2025-02
how-to\deploy-models-phi-3-vision.md,2024-09-13,mopeakande,How to use Phi-3 chat model with vision with Azure AI Studio,2025-03
how-to\deploy-models-phi-3.md,2024-09-13,mopeakande,How to use Phi-3 family chat models with Azure AI Studio,2025-03
how-to\deploy-models-serverless-availability.md,2024-05-21,mopeakande,Region availability for models in Serverless API endpoints,2024-11
how-to\deploy-models-serverless-connect.md,2024-05-21,mopeakande ,Consume deployed serverless API endpoints from a different project or hub,2024-11
how-to\deploy-models-serverless.md,2024-07-18,mopeakande ,Deploy models as serverless APIs,2025-01
how-to\deploy-models-timegen-1.md,2024-05-21,mopeakande,How to deploy TimeGEN-1 model with Azure AI Studio,2024-11
how-to\develop\ai-template-get-started.md,2024-05-21,eur,How to get started with an AI template,2024-11
how-to\develop\connections-add-sdk.md,2024-09-12,larryfr,How to add a new connection in AI Studio using the Azure Machine Learning SDK,2025-03
how-to\develop\create-hub-project-sdk.md,2024-05-21,eur,How to create a hub using the Azure Machine Learning SDK/CLI,2024-11
how-to\develop\flow-evaluate-sdk.md,2024-08-07,eur,Evaluate with the prompt flow SDK,2025-02
how-to\develop\index-build-consume-sdk.md,2024-05-21,eur,How to build and consume an index using code,2024-11
how-to\develop\llama-index.md,2024-09-14,eur,Develop application with LlamaIndex and Azure AI studio,2025-03
how-to\develop\sdk-overview.md,2024-08-09,eur,How to get started with Azure AI SDKs,2025-02
how-to\develop\simulator-interaction-data.md,2024-05-21,eur,How to generate adversarial simulations for safety evaluation,2024-11
how-to\develop\trace-local-sdk.md,2024-05-21,eur,How to trace your application with prompt flow SDK,2024-11
how-to\develop\trace-production-sdk.md,2024-05-21,lagayhar,How to enable tracing and collect feedback for a flow deployment,2024-11
how-to\develop\vscode.md,2024-05-21,sgilley,Work with Azure AI Studio projects in VS Code,2024-11
how-to\disaster-recovery.md,2024-05-21,larryfr,Customer enabled disaster recovery,2024-11
how-to\evaluate-flow-results.md,2024-05-21,lagayhar,How to view evaluation results in Azure AI Studio,2024-11
how-to\evaluate-generative-ai-app.md,2024-05-21,lagayhar,How to evaluate generative AI apps with Azure AI Studio,2024-11
how-to\evaluate-prompts-playground.md,2024-05-21,lagayhar,How to manually evaluate prompts in Azure AI Studio playground,2024-11
how-to\fine-tune-model-llama.md,2024-07-23,ssalgado,Fine-tune Llama models in Azure AI Studio,2025-01
how-to\flow-bulk-test-evaluation.md,2024-05-21,lagayhar,Submit batch run and evaluate a flow,2024-11
how-to\flow-deploy.md,2024-05-21,lagayhar,Deploy a flow as a managed online endpoint for real-time inference,2024-11
how-to\flow-develop-evaluation.md,2024-05-21,lagayhar,Develop an evaluation flow,2024-11
how-to\flow-develop.md,2024-05-21,lagayhar,How to build with prompt flow,2024-11
how-to\flow-process-image.md,2024-05-21,lagayhar,Process images in prompt flow,2024-11
how-to\flow-tune-prompts-using-variants.md,2024-05-21,lagayhar,Tune prompts using variants,2024-11
how-to\groundedness.md,2024-03-18,pafarley,Groundedness detection in Azure AI Studio(preview),2024-09
how-to\index-add.md,2024-05-21,ssalgado,How to build and consume vector indexes in Azure AI Studio,2024-11
how-to\model-benchmarks.md,2024-05-21,eur,Explore model benchmarks in Azure AI Studio,2024-11
how-to\model-catalog-overview.md,2024-05-21,ssalgado,Explore the model catalog in Azure AI Studio,2024-11
how-to\monitor-quality-safety.md,2024-07-31,mopeakande,Monitor quality and token usage of deployed prompt flow applications (preview),2025-01
how-to\prompt-flow-tools\azure-open-ai-gpt-4v-tool.md,2024-05-21,lagayhar,Azure OpenAI GPT-4 Turbo with Vision tool in Azure AI Studio,2024-11
how-to\prompt-flow-tools\content-safety-tool.md,2024-05-21,lagayhar,Content Safety tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\embedding-tool.md,2024-05-21,lagayhar,Embedding tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\index-lookup-tool.md,2024-05-21,lagayhar,Index Lookup tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\llm-tool.md,2024-05-21,lagayhar,LLM tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\prompt-flow-tools-overview.md,2024-05-21,lagayhar,Overview of prompt flow tools in Azure AI Studio,2024-11
how-to\prompt-flow-tools\prompt-tool.md,2024-05-21,lagayhar,Prompt tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\python-tool.md,2024-05-21,lagayhar,Python tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-tools\rerank-tool.md,2024-08-29,lagayhar,Rerank tool for flows in Azure AI Studio,2025-02
how-to\prompt-flow-tools\serp-api-tool.md,2024-05-21,lagayhar,Serp API tool for flows in Azure AI Studio,2024-11
how-to\prompt-flow-troubleshoot.md,2024-07-31,lagayhar,Troubleshoot guidance for prompt flow,2025-01
how-to\prompt-flow.md,2024-05-21,lagayhar,Prompt flow in Azure AI Studio,2024-11
how-to\prompt-shields.md,2024-05-10,pafarley,Prompt Shields in Azure AI Studio (preview),2024-11
how-to\quota.md,2024-05-21,larryfr,Manage and increase quotas for resources with Azure AI Studio,2024-11
how-to\secure-data-playground.md,2024-09-13,larryfr,Securely use playground chat,2025-03
how-to\troubleshoot-deploy-and-monitor.md,2024-05-21,mopeakande,How to troubleshoot your deployments and monitors in Azure AI Studio,2024-11
how-to\troubleshoot-secure-connection-project.md,2024-05-21,larryfr,Troubleshoot private endpoint connection,2024-11
includes\chat-with-data.md,2024-05-21,eric-urban,include file,2024-11
includes\chat-without-data.md,2024-05-21,eric-urban,include file,2024-11
includes\content-safety-serverless-models.md,2024-07-12,mopeakande,Include file,2025-01
includes\create-hub.md,2024-05-21,eric-urban,include file,2024-11
includes\create-projects.md,2024-05-21,eric-urban,include file,2024-11
includes\dependent-resources.md,2024-05-21,larryfr,Include file,2024-11
includes\deploy-chat-model.md,2024-08-08,eric-urban,include file,2025-02
