file,type,lines
responsible-use-of-ai-overview.md,,2
responsible-use-of-ai-overview.md,,1
responsible-use-of-ai-overview.md,,3
responsible-use-of-ai-overview.md,,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-build-rag.md,bash,1
copilot-sdk-create-resources.md,bash,1
copilot-sdk-evaluate.md,bash,1
copilot-sdk-evaluate.md,bash,1
copilot-sdk-evaluate.md,bash,1
copilot-sdk-evaluate.md,Text,23
get-started-code.md,bash,1
get-started-code.md,bash,1
get-started-code.md,bash,1
hear-speak-playground.md,,1
get-started-deepseek-r1.md,python,15
get-started-deepseek-r1.md,console,8
code-create-chat-client-entra.md,bash,1
code-create-chat-client-entra.md,python,9
code-create-chat-client-entra.md,bash,1
code-create-chat-client-entra.md,javascript,11
code-create-chat-client-entra.md,dotnetcli,1
code-create-chat-client-entra.md,dotnetcli,1
code-create-chat-client-entra.md,csharp,3
code-create-chat-client-entra.md,csharp,10
code-create-chat-client-entra.md,xml,10
code-create-chat-client-entra.md,java,5
code-create-chat-client-entra.md,HTTP/1.1,3
code-create-chat-client-entra.md,azurecli,1
code-create-chat-client.md,bash,1
code-create-chat-client.md,python,8
code-create-chat-client.md,bash,1
code-create-chat-client.md,javascript,8
code-create-chat-client.md,dotnetcli,1
code-create-chat-client.md,csharp,3
code-create-chat-client.md,csharp,4
code-create-chat-client.md,xml,5
code-create-chat-client.md,java,4
code-create-chat-client.md,HTTP/1.1,3
code-create-chat-completion.md,python,11
code-create-chat-completion.md,javascript,13
code-create-chat-completion.md,csharp,11
code-create-chat-completion.md,java,10
code-create-chat-completion.md,HTTP/1.1,3
code-create-chat-completion.md,JSON,13
code-create-chat-reasoning.md,python,10
code-create-chat-reasoning.md,javascript,12
code-create-chat-reasoning.md,csharp,10
code-create-chat-reasoning.md,java,9
code-create-chat-reasoning.md,HTTP/1.1,3
code-create-chat-reasoning.md,JSON,9
code-create-embeddings-client.md,bash,1
code-create-embeddings-client.md,python,8
code-create-embeddings-client.md,python,8
code-create-embeddings-client.md,bash,1
code-create-embeddings-client.md,javascript,8
code-create-embeddings-client.md,javascript,8
code-create-embeddings-client.md,dotnetcli,1
code-create-embeddings-client.md,dotnetcli,1
code-create-embeddings-client.md,csharp,3
code-create-embeddings-client.md,csharp,4
code-create-embeddings-client.md,csharp,4
code-create-embeddings-client.md,HTTP/1.1,3
code-create-embeddings.md,python,8
code-create-embeddings.md,javascript,8
code-create-embeddings.md,csharp,10
code-create-embeddings.md,HTTP/1.1,3
code-create-embeddings.md,JSON,6
code-create-embeddings.md,json,28
code-manage-content-filtering.md,python,22
code-manage-content-filtering.md,javascript,26
code-manage-content-filtering.md,csharp,26
code-manage-content-filtering.md,java,14
code-manage-content-filtering.md,HTTP/1.1,3
code-manage-content-filtering.md,JSON,14
code-manage-content-filtering.md,JSON,7
how-to-prerequisites-csharp.md,bash,1
how-to-prerequisites-csharp.md,bash,1
how-to-prerequisites-java.md,xml,5
how-to-prerequisites-java.md,xml,5
how-to-prerequisites-java.md,java,14
how-to-prerequisites-javascript.md,bash,3
how-to-prerequisites-javascript.md,json,13
how-to-prerequisites-javascript.md,javascript,5
how-to-prerequisites-python.md,bash,1
csharp.md,csharp,4
