ref_file,from_file
scenarios/projects/basic/chat-simple.py,get-started-code.md
scenarios/projects/basic/chat-template.py,get-started-code.md
scenarios/rag/custom-rag-app/assets/chat_eval_data.jsonl,copilot-sdk-evaluate.md
scenarios/rag/custom-rag-app/assets/grounded_chat.prompty,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/assets/intent_mapping.prompty,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/assets/products.csv,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/chat_with_products.py,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/config.py,copilot-sdk-create-resources.md
scenarios/rag/custom-rag-app/create_search_index.py,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/evaluate.py,copilot-sdk-evaluate.md
scenarios/rag/custom-rag-app/get_product_documents.py,copilot-sdk-build-rag.md
scenarios/rag/custom-rag-app/requirements.txt,copilot-sdk-create-resources.md
